id,recipe_id,step_number,instruction
1,1,1,"Char ginger and onions over an open flame until blackened. Add to a large pot with beef bones and cover with water."
2,1,2,"Add star anise, cinnamon, and fish sauce. Bring to a boil, then reduce heat and simmer for 3 hours, skimming foam occasionally."
3,1,3,"Soak rice noodles in warm water for 30 minutes, then drain."
4,1,4,"Strain the broth and return to pot. Season with additional fish sauce to taste."
5,1,5,"Thinly slice raw beef sirloin. Cook noodles in boiling water for 2-3 minutes, then divide into bowls."
6,1,6,"Top noodles with raw beef slices, pour hot broth over (this will cook the beef). Garnish with fresh basil, bean sprouts, lime, and chilies."
7,2,1,"Mix yogurt sauce with paprika, cumin, garlic, and lemon juice. Marinate chicken thighs for at least 2 hours or overnight."
8,2,2,"Thread marinated chicken onto skewers. Grill over medium-high heat for 6-8 minutes per side until cooked through and charred."
9,2,3,"Warm pita bread on the grill for 1 minute per side."
10,2,4,"Remove chicken from skewers and slice. Fill pita bread with chicken, lettuce, tomatoes, onions, and additional yogurt sauce."
11,3,1,"Heat oil in a large pot over medium heat. Sauté diced onions, bell peppers, and celery until softened, about 8 minutes."
12,3,2,"Add Cajun seasoning, garlic, and okra. Cook for 5 minutes, stirring frequently."
13,3,3,"Pour in chicken broth and diced tomatoes. Bring to a boil, then reduce heat and simmer for 30 minutes."
14,3,4,"Add shrimp and cook for 5-7 minutes until pink and cooked through."
15,3,5,"Serve over cooked white rice with hot sauce on the side."
16,4,1,"Mix ground beef with finely chopped onions, garlic, ginger, and spices. Form into small meatballs."
17,4,2,"Heat oil in a pan and brown meatballs on all sides, about 8 minutes total. Remove and set aside."
18,4,3,"In the same pan, sauté onions until golden. Add garam masala, turmeric, and tomato sauce. Cook for 5 minutes."
19,4,4,"Stir in yogurt and return meatballs to the pan. Simmer for 20 minutes until sauce thickens."
20,4,5,"Garnish with fresh coriander and serve with rice or naan."
21,5,1,"Cook udon noodles according to package directions. Drain and set aside."
22,5,2,"Slice chicken breast into thin strips. Heat oil in a wok or large pan over high heat."
23,5,3,"Stir-fry chicken for 4-5 minutes until cooked through. Remove and set aside."
24,5,4,"Add broccoli florets to the pan with a splash of water. Stir-fry for 3-4 minutes until tender-crisp."
25,5,5,"Return chicken and noodles to the pan. Pour teriyaki sauce over and toss to combine. Cook for 2 minutes."
26,5,6,"Garnish with sesame seeds and sliced green onions. Serve immediately."
27,6,1,"Cut lamb into cubes and marinate in olive oil, lemon juice, garlic, oregano, salt, and pepper for 2 hours."
28,6,2,"Thread lamb onto skewers and grill over medium-high heat for 10-12 minutes, turning occasionally."
29,6,3,"Meanwhile, cook rice according to package directions."
30,6,4,"Prepare tzatziki sauce by mixing yogurt, grated cucumber, garlic, and dill."
31,6,5,"Assemble bowls with rice, grilled lamb, cucumber slices, tomatoes, red onion, and feta cheese."
32,6,6,"Drizzle with tzatziki sauce and serve with lemon wedges."
33,7,1,"Cook ramen noodles according to package directions. Drain and divide into bowls."
34,7,2,"In a large pot, heat beef broth with ginger, garlic, and soy sauce. Bring to a simmer."
35,7,3,"Slice beef sirloin very thin and sear quickly in a hot pan, about 1 minute per side for medium-rare."
36,7,4,"Prepare soft-boiled eggs: boil for 6-7 minutes, then transfer to ice water. Peel and halve."
37,7,5,"Ladle hot broth over noodles. Top with sliced beef, soft-boiled eggs, green onions, and nori."
38,7,6,"Add mirin and additional soy sauce to taste. Serve immediately."
39,8,1,"Heat oil in a pan over medium-high heat. Season chicken thighs with salt and pepper, then cook for 6 minutes per side until browned and cooked through."
40,8,2,"Remove chicken and shred with two forks. Return to the pan."
41,8,3,"Add diced tomatoes, chipotle peppers in adobo sauce, and onions. Simmer for 15 minutes until sauce thickens."
42,8,4,"Warm corn tortillas in a dry skillet or over an open flame."
43,8,5,"Fill tortillas with chicken tinga. Top with diced onions, cilantro, lime juice, and crumbled queso fresco."
44,9,1,"Cook udon noodles according to package directions. Drain and set aside."
45,9,2,"Heat oil in a wok over high heat. Add shrimp and stir-fry for 2-3 minutes until pink."
46,9,3,"Add shredded cabbage and cook for 2 minutes until slightly wilted."
47,9,4,"Toss in cooked noodles, soy sauce, and mirin. Stir-fry for 2-3 minutes, tossing constantly."
48,9,5,"Season with white pepper and garnish with pickled ginger and bonito flakes. Serve hot."
49,10,1,"Slice beef sirloin into thin strips. Heat oil in a wok over high heat."
50,10,2,"Stir-fry beef for 2-3 minutes until browned. Remove and set aside."
51,10,3,"Add Panang curry paste to the wok and cook for 1 minute until fragrant."
52,10,4,"Pour in coconut milk and bring to a simmer. Add sliced bell peppers and cook for 5 minutes."
53,10,5,"Return beef to the pan and simmer for 10 minutes. Stir in palm sugar and fish sauce."
54,10,6,"Garnish with fresh basil leaves and serve with jasmine rice."
55,11,1,"Marinate chicken thighs in yogurt, garam masala, and kasuri methi for 30 minutes."
56,11,2,"Heat butter and oil in a large pan. Add chicken and cook until browned, about 8 minutes. Remove and set aside."
57,11,3,"In the same pan, sauté onions, ginger, and garlic until golden. Add tomato puree and cook for 10 minutes."
58,11,4,"Blend the sauce until smooth, then return to the pan. Add heavy cream and butter."
59,11,5,"Return chicken to the pan and simmer for 20 minutes until fully cooked and sauce is thick."
60,11,6,"Garnish with cream swirl and fresh fenugreek leaves. Serve with naan or rice."
61,12,1,"Mix ground lamb with minced onion, garlic, parsley, cumin, coriander, and salt. Form into long sausage shapes around skewers."
62,12,2,"Refrigerate kofta for 30 minutes to firm up."
63,12,3,"Grill over medium-high heat for 10-12 minutes, turning occasionally, until cooked through and charred."
64,12,4,"Warm pita bread on the grill. Prepare tahini sauce by mixing tahini, lemon juice, garlic, and water."
65,12,5,"Assemble wraps with grilled kofta, lettuce, tomatoes, pickled vegetables, and tahini sauce."
66,13,1,"Heat oil in a wok or large pan. Add green curry paste and cook for 1 minute until fragrant."
67,13,2,"Slice beef sirloin into thin strips and add to the pan. Stir-fry for 3-4 minutes."
68,13,3,"Pour in coconut milk and bring to a simmer. Add bamboo shoots, bell peppers, and Thai basil."
69,13,4,"Cook for 15 minutes, stirring occasionally. Season with fish sauce and palm sugar."
70,13,5,"Serve over jasmine rice, garnished with extra Thai basil and sliced red chilies."
71,14,1,"Marinate chicken thighs in olive oil, lemon juice, garlic, cumin, and paprika for 2 hours."
72,14,2,"Grill or pan-fry chicken for 6-7 minutes per side until cooked through and charred."
73,14,3,"Slice chicken into strips. Cook rice according to package directions."
74,14,4,"Prepare tahini sauce by whisking tahini, lemon juice, garlic, and water until smooth."
75,14,5,"Assemble bowls with rice, sliced chicken, cucumber, pickled vegetables, and cherry tomatoes."
76,14,6,"Drizzle with tahini sauce and garnish with sumac and fresh parsley."
77,15,1,"Soak wide rice noodles in warm water for 20 minutes. Drain well."
78,15,2,"Heat oil in a wok over very high heat. Add shrimp and stir-fry for 2 minutes. Remove and set aside."
79,15,3,"Add garlic and Thai chilies to the wok. Cook for 30 seconds until fragrant."
80,15,4,"Add drained noodles, soy sauce, fish sauce, and oyster sauce. Toss vigorously for 2-3 minutes."
81,15,5,"Return shrimp to the wok. Add Thai basil and stir until wilted, about 1 minute."
82,15,6,"Serve immediately with lime wedges on the side."
83,16,1,"Mix ground beef with finely chopped parsley, onion, garlic, cumin, allspice, salt, and pepper."
84,16,2,"Form mixture into long sausage shapes around flat metal skewers."
85,16,3,"Refrigerate for 30 minutes to help kebabs hold their shape."
86,16,4,"Grill over medium-high heat for 8-10 minutes, turning occasionally, until cooked through with charred edges."
87,16,5,"Serve hot with pita bread, tahini sauce, grilled vegetables, and lemon wedges."
88,17,1,"Heat oil in a wok over high heat. Add minced garlic and Thai chilies, stir-fry for 30 seconds."
89,17,2,"Add ground chicken and break up with a spatula. Cook for 5-6 minutes until fully cooked."
90,17,3,"Add fish sauce, soy sauce, and a pinch of sugar. Stir well to combine."
91,17,4,"Add Thai basil leaves and stir until just wilted, about 1 minute."
92,17,5,"Serve over jasmine rice with a fried egg on top and lime wedges on the side."
93,18,1,"Heat oil in a large pot. Brown lamb shoulder pieces on all sides, about 10 minutes total. Remove and set aside."
94,18,2,"In the same pot, sauté onions until golden. Add curry powder, turmeric, and Scotch bonnet pepper. Cook for 2 minutes."
95,18,3,"Return lamb to the pot with diced potatoes and enough water to cover. Bring to a boil."
96,18,4,"Reduce heat and simmer for 1.5 hours until lamb is tender and curry is thick."
97,18,5,"Warm roti on a griddle or in the oven. Serve curry with roti for wrapping and eating."
98,19,1,"Marinate beef sirloin in soy sauce, mirin, sake, and grated ginger for 2 hours."
99,19,2,"Thread marinated beef and green onion pieces onto skewers, alternating between beef and onion."
100,19,3,"Grill over high heat for 2-3 minutes per side for medium-rare, basting with reserved marinade."
101,19,4,"Meanwhile, reduce remaining marinade in a small pot until thick and glossy, about 5 minutes."
102,19,5,"Brush cooked yakitori with the glaze and serve immediately with additional sauce on the side."
103,20,1,"Heat oil in a large pot. Sauté shallots, garlic, and laksa paste for 2 minutes until fragrant."
104,20,2,"Add coconut milk and chicken broth. Bring to a boil, then reduce to a simmer."
105,20,3,"Soak rice noodles according to package directions. Drain and set aside."
106,20,4,"Add shrimp to the simmering broth and cook for 5 minutes until pink and cooked through."
107,20,5,"Divide noodles into bowls. Ladle hot laksa broth and shrimp over noodles."
108,20,6,"Top with bean sprouts, fried tofu puffs, boiled egg halves, and fresh cilantro. Serve with lime wedges."
109,21,1,"Make long slits in chicken thighs. Marinate in lemon juice, Dijon mustard, garlic, and sliced onions for 4 hours or overnight."
110,21,2,"Remove chicken from marinade, reserving the onions. Pat chicken dry and season with salt and pepper."
111,21,3,"Heat oil in a large skillet. Brown chicken on both sides, about 5 minutes per side. Remove and set aside."
112,21,4,"In the same pan, cook the marinated onions over medium heat until caramelized, about 15 minutes."
113,21,5,"Return chicken to the pan, cover, and cook for 25 minutes until chicken is cooked through."
114,21,6,"Serve hot over rice with the caramelized onions and pan juices."
115,22,1,"Marinate beef in olive oil, lemon juice, garlic, cumin, paprika, and sumac for 3 hours."
116,22,2,"Thread beef onto skewers or cook in a hot skillet for 3-4 minutes per side."
117,22,3,"Cook rice according to package directions. Prepare tahini sauce by mixing tahini, lemon juice, and garlic."
118,22,4,"Slice cooked beef into strips. Assemble plates with rice, sliced beef, and pickled vegetables."
119,22,5,"Drizzle with tahini sauce and sprinkle with sumac. Serve with pita bread on the side."
120,23,1,"Heat oil in a large pot. Sauté onions, ginger, and garlic until fragrant, about 3 minutes."
121,23,2,"Add Massaman curry paste and cook for 2 minutes, stirring constantly."
122,23,3,"Pour in coconut milk and bring to a simmer. Add chicken thighs and diced potatoes."
123,23,4,"Simmer for 40 minutes until chicken is tender and potatoes are cooked through."
124,23,5,"Stir in roasted peanuts, fish sauce, palm sugar, and tamarind paste."
125,23,6,"Serve over jasmine rice, garnished with fried shallots and fresh cilantro."
126,24,1,"Heat oil in a large pot. Brown lamb shoulder pieces on all sides. Remove and set aside."
127,24,2,"Sauté onions, celery, and garlic in the pot until softened. Add cinnamon, cumin, and turmeric."
128,24,3,"Add chickpeas, lentils, diced tomatoes, and lamb back to the pot. Cover with water or broth."
129,24,4,"Bring to a boil, then reduce heat and simmer for 1.5 hours, stirring occasionally."
130,24,5,"Add chopped cilantro and parsley in the last 10 minutes. Adjust seasoning with salt and pepper."
131,24,6,"Serve hot with lemon wedges and crusty bread. Traditionally served during Ramadan."
132,25,1,"Cook spaghetti according to package directions until al dente. Reserve 1 cup pasta water, then drain."
133,25,2,"Heat butter and oil in a large pan. Add minced garlic and cook for 1 minute until fragrant."
134,25,3,"Add shrimp and cook for 3-4 minutes until pink and cooked through."
135,25,4,"Add cooked pasta to the pan with soy sauce. Toss well, adding pasta water as needed."
136,25,5,"Garnish with chopped parsley and serve immediately with extra soy sauce on the side."
137,26,1,"Marinate beef in soy sauce, sesame oil, and garlic for 30 minutes."
138,26,2,"Cook white rice according to package directions. Prepare vegetables by blanching spinach and julienning carrots."
139,26,3,"Fry eggs sunny-side up or over-easy, keeping yolks runny."
140,26,4,"Heat a skillet and cook marinated beef until browned, about 5 minutes."
141,26,5,"Arrange rice in bowls. Top with beef, vegetables, and a fried egg. Add gochujang on the side."
142,26,6,"Mix everything together before eating to combine the flavors."
143,27,1,"Heat oil in a large pot. Sauté onions, garlic, and ginger until softened."
144,27,2,"Add chicken thighs and brown on all sides, about 8 minutes total."
145,27,3,"Add chopped fresh herbs (parsley, cilantro, fenugreek), kidney beans, dried limes, and turmeric."
146,27,4,"Cover with water and bring to a boil. Reduce heat and simmer for 2 hours until thick and aromatic."
147,27,5,"Season with salt and pepper. Remove dried limes before serving."
148,27,6,"Serve over rice with a side of yogurt and fresh herbs."
149,28,1,"Marinate whole lamb shoulder in mandi spice mix, yogurt, and lemon juice for 4 hours."
150,28,2,"Wash basmati rice and soak for 30 minutes. Drain well."
151,28,3,"In a large pot, heat oil and sauté onions until golden. Add rice and cook for 2 minutes."
152,28,4,"Add water, tomatoes, raisins, and bring to a boil. Reduce heat, cover, and cook for 15 minutes."
153,28,5,"Place marinated lamb on top of rice. Cover tightly and cook on very low heat for 2.5 hours."
154,28,6,"Garnish with fried almonds and serve with yogurt and salad."
155,29,1,"Char ginger and onions over an open flame. Add to a pot with beef bones and water."
156,29,2,"Add star anise, cinnamon, and fish sauce. Simmer for 3 hours, skimming foam regularly."
157,29,3,"Strain broth and return to pot. Season with additional fish sauce."
158,29,4,"Soak rice noodles for 30 minutes, then cook in boiling water for 2 minutes."
159,29,5,"Thinly slice beef eye round. Divide noodles into bowls and top with raw beef."
160,29,6,"Pour hot broth over (this cooks the beef). Garnish with herbs, bean sprouts, lime, and chilies."
161,30,1,"Marinate whole chicken in mandi spice, saffron, garlic, and yogurt for 3 hours."
162,30,2,"Wash basmati rice and soak for 30 minutes. Drain."
163,30,3,"In a large pot, sauté onions in oil until golden. Add rice and stir for 2 minutes."
164,30,4,"Add water, salt, and bring to a boil. Cook for 10 minutes until rice is half-cooked."
165,30,5,"Place marinated chicken on top of rice. Cover tightly and cook on low heat for 1.5 hours."
166,30,6,"Garnish with fried almonds and raisins. Serve with yogurt and cucumber salad."
167,31,1,"Cook linguine according to package directions. Reserve 1 cup pasta water, then drain."
168,31,2,"Heat oil in a large pan. Season shrimp with Cajun seasoning and cook for 3 minutes per side."
169,31,3,"Remove shrimp and add diced bell peppers to the pan. Sauté for 3 minutes."
170,31,4,"Add heavy cream and bring to a simmer. Cook for 5 minutes until slightly thickened."
171,31,5,"Return shrimp and add cooked pasta to the sauce. Toss well, adding pasta water if needed."
172,31,6,"Garnish with chopped parsley and serve with crusty bread."
173,32,1,"Heat ghee in a large pot. Brown beef shank pieces on all sides, about 10 minutes. Remove and set aside."
174,32,2,"In the same pot, sauté onions, ginger, and garlic until golden brown."
175,32,3,"Add nihari masala and cook for 2 minutes. Return beef to the pot with enough water to cover."
176,32,4,"Bring to a boil, then reduce heat and simmer for 4 hours until beef is fall-apart tender."
177,32,5,"Make a slurry with wheat flour and water. Stir into the curry to thicken. Simmer for 30 more minutes."
178,32,6,"Garnish with fried onions, ginger julienne, and fresh cilantro. Serve with naan."
179,33,1,"Marinate chicken breast in yogurt, chaat masala, lemon juice, and ginger for 30 minutes."
180,33,2,"Heat oil in a pan and cook chicken until browned and cooked through, about 12 minutes. Slice into strips."
181,33,3,"Warm paratha on a griddle. Spread mint chutney on each paratha."
182,33,4,"Top with sliced chicken, diced onions, tomatoes, and shredded lettuce."
183,33,5,"Roll up tightly, tucking in the ends. Cut in half and serve with extra chutney."
184,34,1,"Heat oil in a large pot. Brown lamb shoulder pieces on all sides. Remove and set aside."
185,34,2,"Puree spinach with water until smooth. Set aside."
186,34,3,"In the pot, sauté onions, ginger, and garlic until golden. Add garam masala and cook for 1 minute."
187,34,4,"Add yogurt, stirring constantly to prevent curdling. Cook for 5 minutes."
188,34,5,"Add spinach puree and return lamb to the pot. Simmer for 45 minutes until lamb is tender."
189,34,6,"Finish with a swirl of cream and serve with naan or rice."
190,35,1,"Season beef oxtail with salt and pepper. Brown in a large pot with oil, about 15 minutes. Remove and set aside."
191,35,2,"In the same pot, make the peanut sauce by cooking peanut butter, garlic, and shrimp paste."
192,35,3,"Return oxtail to the pot with enough water to cover. Bring to a boil."
193,35,4,"Reduce heat and simmer for 2.5 hours until oxtail is tender."
194,35,5,"Add eggplant and bok choy in the last 15 minutes of cooking."
195,35,6,"Serve hot over rice with bagoong (shrimp paste) on the side."
196,36,1,"Heat oil in a wok over high heat. Scramble eggs and remove from wok."
197,36,2,"Add diced shallots and cook for 1 minute. Add chicken breast and stir-fry for 4 minutes."
198,36,3,"Add cooked rice, breaking up any clumps. Stir-fry for 3 minutes."
199,36,4,"Add kecap manis (sweet soy sauce) and mix well to coat all rice."
200,36,5,"Return scrambled eggs to the wok. Add sliced green onions and toss together."
201,36,6,"Serve immediately with fried shallots on top and cucumber slices on the side."
202,37,1,"Heat oil in a pot. Add mustard seeds and curry leaves. Cook until seeds start to pop."
203,37,2,"Add sliced onions and cook until softened. Add ginger and garlic, cook for 1 minute."
204,37,3,"Add shrimp and cook for 2 minutes. Add kokum and coconut milk."
205,37,4,"Bring to a simmer and cook for 15 minutes. Add ground spices and salt."
206,37,5,"Finish with fresh cilantro and serve over rice with papadums on the side."
207,38,1,"Cook egg noodles according to package directions. Drain and set aside."
208,38,2,"Heat oil in a pot. Add khao soi paste and cook for 2 minutes until fragrant."
209,38,3,"Add beef chuck and brown on all sides, about 5 minutes."
210,38,4,"Pour in coconut milk and water. Bring to a simmer and cook for 30 minutes until beef is tender."
211,38,5,"Divide noodles into bowls. Ladle curry over noodles."
212,38,6,"Top with pickled mustard greens, fried shallots, lime wedges, and crispy fried noodles."
213,39,1,"Wash basmati rice and soak for 30 minutes. Drain."
214,39,2,"Heat oil in a large pot. Sauté onions until golden. Add kabsa spice mix and cook for 1 minute."
215,39,3,"Add whole chicken pieces and brown on all sides, about 8 minutes."
216,39,4,"Add rice, diced tomatoes, dried limes, and water. Bring to a boil."
217,39,5,"Reduce heat to low, cover tightly, and cook for 45 minutes without lifting the lid."
218,39,6,"Let rest for 10 minutes. Serve chicken on a bed of rice, garnished with fried almonds."
219,40,1,"Mix ground lamb with finely chopped mint, coriander, ginger, garam masala, and salt."
220,40,2,"Form mixture into sausage shapes around flat metal skewers."
221,40,3,"Refrigerate for 1 hour to firm up."
222,40,4,"Grill over high heat for 12-15 minutes, turning frequently, until cooked through with charred edges."
223,40,5,"Serve hot with mint chutney, naan, and sliced onions."
224,41,1,"Bring a large pot of water to a boil. Add beef short ribs and cook for 5 minutes. Drain and rinse."
225,41,2,"In the same pot, add fresh water, tomatoes, radish, and tamarind paste. Bring to a boil."
226,41,3,"Reduce heat and simmer for 1 hour until beef is tender."
227,41,4,"Add water spinach and cook for 5 more minutes."
228,41,5,"Season with fish sauce and pepper. Serve hot over rice with green chilies on the side."
229,42,1,"Bring a large pot of water to a boil. Add whole chicken, ginger slices, and green onions."
230,42,2,"Simmer for 40 minutes until chicken is cooked through. Remove chicken and let cool."
231,42,3,"Strain and reserve the cooking liquid. Use it to cook jasmine rice."
232,42,4,"Cut chicken into pieces. Prepare ginger-garlic sauce by mixing minced ginger, garlic, and sesame oil."
233,42,5,"Serve sliced chicken over the flavored rice with cucumber, ginger sauce, and chicken broth on the side."
234,43,1,"Remove shells from shrimp and reserve. Devein shrimp and refrigerate."
235,43,2,"Sauté shrimp shells in oil until pink and fragrant. Add tomato paste and cook for 2 minutes."
236,43,3,"Add brandy and carefully flambé. Add fish stock and simmer for 30 minutes."
237,43,4,"Strain the broth, pressing on shells to extract all flavor. Return to pot."
238,43,5,"Add shrimp meat and heavy cream. Simmer for 10 minutes."
239,43,6,"Blend until smooth. Season with salt, cayenne, and serve with crusty bread."
240,44,1,"Heat oil in a large pot. Add lemongrass, galangal, and turmeric. Cook for 2 minutes."
241,44,2,"Add beef chuck and brown on all sides, about 8 minutes."
242,44,3,"Add coconut milk, candlenuts (or macadamias), and kaffir lime leaves."
243,44,4,"Bring to a simmer and cook for 50 minutes until beef is tender and curry is thick."
244,44,5,"Season with palm sugar and salt. Serve over rice with lime wedges."
245,45,1,"Heat oil in a tagine or Dutch oven. Brown chicken thighs on both sides, about 8 minutes. Remove and set aside."
246,45,2,"Sauté onions and garlic until softened. Add saffron, coriander, and ginger."
247,45,3,"Return chicken to the pot with preserved lemons, green olives, and chicken broth."
248,45,4,"Cover and simmer for 1 hour until chicken is very tender."
249,45,5,"Garnish with fresh cilantro and serve with couscous or crusty bread."
250,46,1,"Marinate lamb in yogurt, garam masala, saffron, and fried onions for 2 hours."
251,46,2,"Wash basmati rice and soak for 45 minutes. Parboil rice for 6 minutes, then drain."
252,46,3,"Layer marinated lamb in the bottom of a heavy pot. Top with parboiled rice."
253,46,4,"Drizzle with saffron milk and melted ghee. Cover with a tight lid wrapped in a towel."
254,46,5,"Cook on high heat for 5 minutes, then reduce to very low for 50 minutes (dum cooking)."
255,46,6,"Let rest for 10 minutes. Garnish with fried onions, mint, and serve with raita."
256,47,1,"Season shrimp with salt, pepper, and lime juice. Set aside."
257,47,2,"Heat oil in a skillet. Sauté bell peppers and onions until softened, about 5 minutes. Remove and set aside."
258,47,3,"In the same skillet, cook shrimp for 2-3 minutes per side until pink."
259,47,4,"Warm flour tortillas. Fill with shrimp, sautéed vegetables, and shredded cheddar cheese."
260,47,5,"Fold quesadillas and cook in a dry skillet for 2 minutes per side until cheese melts."
261,47,6,"Cut into wedges and serve with sour cream, guacamole, and salsa."
262,48,1,"Char ginger and onions. Add to a pot with beef bones and water. Simmer for 3 hours."
263,48,2,"Strain broth and season with fish sauce. Keep hot."
264,48,3,"Soak rice noodles for 30 minutes, then cook briefly in boiling water."
265,48,4,"Thinly slice beef sirloin and arrange in bowls over noodles."
266,48,5,"Ladle boiling broth over beef to cook it. Top with star anise, herbs, bean sprouts, and lime."
267,49,1,"Combine chicken thighs, soy sauce, vinegar, garlic, and bay leaves in a pot."
268,49,2,"Bring to a boil, then reduce heat and simmer uncovered for 30 minutes."
269,49,3,"Continue cooking until liquid reduces and becomes thick and syrupy, about 15 more minutes."
270,49,4,"The chicken should be dark brown and caramelized. Turn pieces occasionally."
271,49,5,"Serve over rice with the reduced sauce and steamed vegetables."
272,50,1,"Season lamb chops with salt, pepper, and olive oil. Let rest at room temperature for 20 minutes."
273,50,2,"Make mint sauce by finely chopping fresh mint, mixing with olive oil, lemon juice, and garlic."
274,50,3,"Heat a grill or cast iron skillet to high heat."
275,50,4,"Grill lamb chops for 3-4 minutes per side for medium-rare."
276,50,5,"Let rest for 5 minutes, then serve with mint sauce and roasted potatoes."
278,51,2,"Add taco seasoning and water. Simmer for 5 minutes until thickened."
279,51,3,"Make guacamole: mash avocados with lime juice, salt, diced tomatoes, onions, and cilantro."
280,51,4,"Warm taco shells in the oven for 5 minutes."
281,51,5,"Fill shells with seasoned beef, lettuce, cheese, and top with fresh guacamole."
282,52,1,"Pound chicken breasts to even thickness. Season with salt and pepper."
283,52,2,"Set up breading station: flour, beaten eggs, and panko breadcrumbs mixed with sesame seeds."
284,52,3,"Bread chicken: dip in flour, then egg, then panko. Press coating firmly."
285,52,4,"Heat oil in a large pan. Fry chicken for 4-5 minutes per side until golden and cooked through."
286,52,5,"Meanwhile, prepare Japanese curry according to package directions."
287,52,6,"Slice chicken and serve over rice with curry sauce. Garnish with pickled vegetables."
288,53,1,"Mix minced shrimp with ginger, soy sauce, and sesame oil."
289,53,2,"Place a small spoonful of filling in the center of each wonton wrapper. Wet edges and fold into triangle, pressing to seal."
290,53,3,"Bring chicken broth to a boil with ginger slices and soy sauce."
291,53,4,"Add wontons and cook for 5 minutes until they float. Add bok choy and cook for 2 more minutes."
292,53,5,"Ladle soup into bowls. Drizzle with sesame oil and garnish with green onions."
293,54,1,"Marinate thinly sliced beef ribeye in soy sauce, sesame oil, sugar, garlic, and grated pear for 2 hours."
294,54,2,"Cook rice according to package directions."
295,54,3,"Heat a skillet or grill to high heat. Cook beef for 1-2 minutes per side."
296,54,4,"Assemble bowls with rice, sliced bulgogi beef, and kimchi."
